# Magnetometer Calibration Data
# Generated on 2026-03-26 17:09:19
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
-2.083333,18.725000,3.758333,-20.838745,38.989490,26.303708
-2.041667,18.791668,3.858334,-20.632877,39.218346,26.740648
-2.000000,18.875002,3.691667,-20.476229,39.539948,26.009233
-2.041667,18.891668,3.633333,-20.692006,39.617370,25.745006
-2.083333,18.833334,3.758333,-20.860931,39.393852,26.291301
-2.041667,18.933334,3.758333,-20.679067,39.758576,26.287006
-1.916667,18.875002,3.775000,-20.057228,39.513339,26.388062
-2.016667,18.791668,3.758333,-20.528649,39.224678,26.307525
-2.091667,18.833334,3.691667,-20.912851,39.403193,25.998258
-2.083333,18.916668,3.841667,-20.863683,39.695357,26.646273
-2.016667,18.891668,3.925000,-20.520499,39.578848,27.025102
-2.016667,18.916668,3.733334,-20.558543,39.694111,26.183856
-2.041667,18.933334,3.716667,-20.686224,39.763348,26.104750
-2.150000,18.975000,3.691667,-21.225144,39.943918,25.972014
-1.916667,18.916668,3.675000,-20.082939,39.680312,25.945873
-2.041667,18.850000,3.633333,-20.683473,39.461842,25.749778
-2.000000,18.875002,3.841667,-20.450462,39.522770,26.665359
-2.058333,18.750002,3.758333,-20.722459,39.077690,26.305139
-1.958333,18.891668,3.733334,-20.270142,39.588852,26.196739
-2.000000,18.933334,3.775000,-20.473860,39.748134,26.367067
-2.041667,18.875002,3.775000,-20.664258,39.538938,26.366589
-1.975000,18.808334,3.691667,-20.341171,39.285988,26.021162
-2.041667,18.891668,3.775000,-20.667671,39.601147,26.364681
-2.091667,18.833334,3.733334,-20.905693,39.398421,26.180516
-2.108333,18.875002,3.775000,-20.988007,39.552591,26.355138
-2.083333,18.875002,3.800000,-20.862307,39.544608,26.468787
-2.058333,18.808334,3.775000,-20.731542,39.293511,26.371361
-2.091667,18.875002,3.675000,-20.924247,39.560630,25.920584
-2.000000,18.933334,3.733334,-20.481018,39.752906,26.184810
-2.091667,18.791668,3.550000,-20.928653,39.263896,25.383356
-2.258333,18.850000,3.508333,-21.757130,39.520529,25.165788
-2.566667,18.808334,3.008333,-23.331826,39.485414,22.930509
-2.708333,18.791668,2.758333,-24.059324,39.480848,21.814539
-2.766667,18.850000,2.458333,-24.406084,39.744880,20.485587
-2.666667,18.875002,2.016667,-24.001448,39.868301,18.567976
-2.891667,18.683334,2.016667,-25.054850,39.198969,18.551276
-2.750000,18.833334,2.208333,-24.364678,39.707889,19.396816
-2.591667,18.850000,2.308333,-23.582008,39.726220,19.859522
-2.550000,18.916668,2.308333,-23.393319,39.966527,19.859044
-2.641667,18.933334,2.225000,-23.856202,40.057052,19.476875
-2.708333,18.850000,2.208333,-24.165748,39.761564,19.402064
-2.808333,18.666668,2.125000,-24.628140,39.107288,19.041367
-2.850000,18.666668,2.266667,-24.806149,39.099597,19.653885
-2.850000,18.708334,2.350000,-24.800367,39.245575,20.013627
-2.891667,18.641668,2.625000,-24.941819,38.973781,21.217003
-2.975000,18.550001,2.650000,-25.323438,38.645831,21.322539
-2.958333,18.591667,2.758333,-25.232424,38.785532,21.794499
-2.975000,18.425001,2.716667,-25.286387,38.171626,21.628466
-3.100000,18.441668,2.600000,-25.916870,38.272794,21.094765
-3.300000,18.258335,2.375000,-26.889223,37.655221,20.097217
-3.508333,18.233334,2.083333,-27.945920,37.637969,18.788492
-3.508333,18.233334,2.083333,-27.945920,37.637969,18.788492
-3.525000,18.275002,2.125000,-28.028233,37.792138,18.963114
-3.683334,18.150002,1.933333,-28.804463,37.379944,18.111848
-3.750000,18.050001,1.850000,-29.122048,37.029883,17.747335
-3.708333,18.066668,1.875000,-28.918823,37.080695,17.861938
-3.766667,18.175001,1.766667,-29.242899,37.509410,17.365642
-3.708333,17.966667,1.750000,-28.919815,36.721753,17.326618
-3.666667,18.025002,1.833333,-28.715103,36.921413,17.691609
-3.833333,18.050001,1.933333,-29.512419,37.037406,18.097534
-3.666667,18.050001,2.083333,-28.677279,36.986095,18.782290
-3.708333,18.150002,2.250000,-28.871473,37.348799,19.492708
-3.666667,18.066668,2.333333,-28.637748,37.019673,19.873924
-3.633333,18.025002,2.375000,-28.460183,36.852554,20.066679
-3.666667,17.900002,2.225000,-28.622225,36.409989,19.419142
-3.608334,18.150002,2.391667,-28.361514,37.312096,20.129562
-3.666667,17.966667,2.458333,-28.595796,36.632101,20.432148
-3.708333,17.966667,2.391667,-28.809592,36.648268,20.133379
-3.750000,17.966667,2.458333,-29.000483,36.649167,20.417833
-3.725000,18.008335,2.475000,-28.884747,36.797666,20.490259
-3.666667,18.008335,2.475000,-28.601467,36.785720,20.500279
-3.683334,17.900002,2.375000,-28.677397,36.396224,20.072406
-3.683334,18.091667,2.475000,-28.699471,37.100175,20.487873
-3.708333,18.050001,2.433333,-28.819501,36.954546,20.306092
-3.666667,18.108334,2.475000,-28.621946,37.158970,20.488827
-3.591667,18.066668,2.558333,-28.234881,36.978546,20.870996
-3.566667,18.066668,2.600000,-28.106317,36.968655,21.057548
-3.466667,18.091667,2.691667,-27.610067,37.030990,21.472829
-3.550000,17.966667,2.733334,-27.981997,36.576715,21.655087
-3.608334,17.941668,2.841667,-28.241549,36.482942,22.121797
-3.550000,17.983334,3.108334,-27.920994,36.595978,23.293493
-3.666667,17.816668,3.316667,-28.417635,35.973921,24.203824
-3.633333,17.633335,3.483334,-28.189586,35.263708,24.959575
-3.916667,17.633335,3.508333,-29.561226,35.318870,25.020258
-4.016667,17.466667,3.466667,-30.019874,34.722023,24.839911
-4.125000,17.275002,3.525000,-30.496694,34.022125,25.098411
-4.316667,17.150002,3.525000,-31.401875,33.594807,25.079802
-4.275000,17.066668,3.400000,-31.203936,33.289540,24.549732
-4.508334,16.983334,3.466667,-32.308542,33.018642,24.810806
-4.725000,16.883335,3.133333,-33.397507,32.727937,23.326981
-4.958333,16.691668,2.883333,-34.534320,32.088942,22.215307
-5.016667,16.550001,3.091667,-34.752801,31.548251,23.132797
-5.225000,16.525002,3.133333,-35.752241,31.492833,23.282130
