# Magnetometer Calibration Data
# Generated on 2026-03-26 17:03:37
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
3.933334,13.958334,-8.900001,-34.199378,5.751953,-20.862906
4.016667,13.891667,-8.858334,12.315298,-29.375587,-3.111601
4.058333,14.000001,-8.925000,38.912619,27.147864,-39.087865
3.833333,14.058334,-8.941668,-90.441510,58.422994,-37.798274
4.000000,14.000001,-8.900001,4.154430,27.403544,-23.632578
3.958333,13.875001,-8.816668,-23.111821,-37.817913,20.915895
3.975000,13.933334,-8.841667,-12.592662,-7.333176,7.429855
3.916667,13.975000,-8.858334,-45.678389,14.667522,1.454608
3.958333,13.975000,-8.675000,-29.564710,15.052851,94.463367
4.000000,13.975000,-8.816668,0.624640,14.520707,19.393630
3.916667,14.016667,-8.816668,-47.615151,36.648286,23.120379
3.975000,14.000001,-8.858334,-12.082396,27.600501,-1.001204
3.916667,14.000001,-8.775001,-49.366847,28.020855,44.621969
3.933334,13.891667,-8.925000,-32.905103,-29.299347,-33.979993
3.916667,14.000001,-8.883334,-44.674957,27.715031,-11.404196
4.000000,14.016667,-8.883334,3.379727,36.195650,-14.966271
3.975000,13.975000,-8.841667,-12.724879,14.529465,7.547478
3.916667,13.916667,-8.925000,-42.605975,-16.128875,-33.187592
3.916667,13.933334,-8.841667,-46.267989,-7.148070,9.956244
4.016667,14.041667,-8.883334,12.922076,49.260346,-15.617534
4.041667,13.916667,-8.775001,23.059225,-16.102086,38.973012
4.000000,13.975000,-8.858334,2.429181,14.403085,-2.154515
4.016667,13.975000,-8.800000,9.524461,14.514871,27.291545
3.958333,13.916667,-8.733334,-26.853203,-15.720021,64.130796
4.041667,13.958334,-8.858334,26.536128,5.525808,-4.006147
4.058333,13.933334,-8.841667,35.515046,-7.597615,3.820721
4.016667,13.916667,-8.816668,10.431426,-16.140379,18.507119
3.975000,13.933334,-8.900001,-10.066263,-7.497851,-22.738042
4.000000,13.916667,-8.941668,6.223453,-16.440364,-45.416468
3.933334,13.916667,-8.733334,-41.285447,-15.640690,65.213531
4.041667,13.958334,-8.858334,26.536128,5.525808,-4.006147
4.016667,13.958334,-8.841667,11.381931,5.652189,5.695857
4.041667,13.933334,-8.900001,28.420041,-7.709402,-25.625360
4.083333,13.975000,-8.733334,45.123320,14.491519,58.881764
4.000000,13.891667,-8.900001,4.498201,-29.440323,-23.938402
4.016667,13.891667,-8.925000,15.202605,-29.563785,-37.589127
4.041667,13.833334,-8.858334,26.932786,-60.063117,-4.359020
3.916667,13.916667,-8.841667,-46.215099,-15.893627,9.909192
4.016667,13.791667,-8.925000,15.519933,-82.035125,-37.871427
4.041667,13.933334,-8.900001,28.420041,-7.709402,-25.625360
3.916667,13.958334,-8.858334,-45.625502,5.922466,1.407559
4.041667,13.958334,-8.883334,27.618895,5.455232,-16.935528
3.958333,14.041667,-8.816668,-23.640696,49.633652,21.386391
