timestamp,target_l,actual_l,error_l,target_r,actual_r,error_r
2026-05-26T22:49:19.263492,-0.3000,0.0000,0.3500,-0.3000,0.0000,0.3500
2026-05-26T22:49:19.364609,-0.3000,-0.1394,-0.1606,-0.3000,-0.1246,-0.1754
2026-05-26T22:49:19.465599,-0.3000,-0.3002,0.0002,-0.3000,-0.2584,-0.0416
2026-05-26T22:49:19.566601,-0.3000,-0.2959,-0.0041,-0.3000,-0.3172,0.0172
2026-05-26T22:49:19.667604,-0.3000,-0.3025,0.0025,-0.3000,-0.3079,0.0079
2026-05-26T22:49:19.768608,-0.3000,-0.3012,0.0012,-0.3000,-0.2933,-0.0067
2026-05-26T22:49:19.869614,-0.3000,-0.2997,-0.0003,-0.3000,-0.3036,0.0036
2026-05-26T22:49:19.970619,-0.3000,-0.3041,0.0041,-0.3000,-0.3052,0.0052
2026-05-26T22:49:20.071621,-0.3000,-0.3012,0.0012,-0.3000,-0.2980,-0.0020
2026-05-26T22:49:20.172627,-0.3000,-0.2997,-0.0003,-0.3000,-0.2979,-0.0021
2026-05-26T22:49:20.273653,-0.3000,-0.3011,0.0011,-0.3000,-0.3047,0.0047
2026-05-26T22:49:20.374630,-0.3000,-0.3037,0.0037,-0.3000,-0.3026,0.0026
2026-05-26T22:49:20.475643,-0.3000,-0.3024,0.0024,-0.3000,-0.3022,0.0022
2026-05-26T22:49:20.576649,-0.3000,-0.3020,0.0020,-0.3000,-0.3010,0.0010
2026-05-26T22:49:20.677652,-0.3000,-0.3011,0.0011,-0.3000,-0.3016,0.0016
2026-05-26T22:49:20.778655,-0.3000,-0.3045,0.0045,-0.3000,-0.3036,0.0036
2026-05-26T22:49:20.879661,-0.3000,-0.3013,0.0013,-0.3000,-0.3029,0.0029
2026-05-26T22:49:20.980667,-0.3000,-0.3058,0.0058,-0.3000,-0.3075,0.0075
2026-05-26T22:49:21.081669,-0.3000,-0.3046,0.0046,-0.3000,-0.3020,0.0020
2026-05-26T22:49:21.182727,-0.3000,-0.3015,0.0015,-0.3000,-0.3023,0.0023
2026-05-26T22:49:21.284536,-0.3000,-0.3024,0.0024,-0.3000,-0.3008,0.0008
2026-05-26T22:49:21.385582,-0.3000,-0.1359,-0.1641,-0.3000,-0.1542,-0.1458
2026-05-26T22:49:21.486587,-0.3000,0.0065,-0.3065,-0.3000,-0.0026,-0.2974
2026-05-26T22:49:21.587584,-0.3000,0.0000,-0.3000,-0.3000,0.0014,-0.3014
2026-05-26T22:49:21.688592,-0.3000,0.0000,-0.3000,-0.3000,0.0000,-0.3000
2026-05-26T22:49:30.992568,0.4000,0.0000,-0.3000,0.4000,0.0000,-0.3000
2026-05-26T22:49:31.093228,0.4000,0.1473,0.2527,0.4000,0.1500,0.2500
2026-05-26T22:49:31.194214,0.4000,0.3355,0.0645,0.4000,0.3306,0.0694
2026-05-26T22:49:31.295217,0.4000,0.3908,0.0092,0.4000,0.3756,0.0244
2026-05-26T22:49:31.396223,0.4000,0.4022,-0.0022,0.4000,0.3954,0.0046
2026-05-26T22:49:31.497227,0.4000,0.3993,0.0007,0.4000,0.3998,0.0002
2026-05-26T22:49:31.598232,0.4000,0.4022,-0.0022,0.4000,0.4008,-0.0008
2026-05-26T22:49:31.699234,0.4000,0.4003,-0.0003,0.4000,0.4023,-0.0023
2026-05-26T22:49:31.800249,0.4000,0.3993,0.0007,0.4000,0.3990,0.0010
2026-05-26T22:49:31.901273,0.4000,0.3999,0.0001,0.4000,0.4018,-0.0018
2026-05-26T22:49:32.002252,0.4000,0.4014,-0.0014,0.4000,0.3999,0.0001
2026-05-26T22:49:32.103254,0.4000,0.4006,-0.0006,0.4000,0.4034,-0.0034
2026-05-26T22:49:32.205149,0.4000,0.3992,0.0008,0.4000,0.3989,0.0011
2026-05-26T22:49:32.306268,0.4000,0.4005,-0.0005,0.4000,0.4003,-0.0003
2026-05-26T22:49:32.407269,0.4000,0.4012,-0.0012,0.4000,0.4025,-0.0025
2026-05-26T22:49:32.509107,0.4000,0.4006,-0.0006,0.4000,0.3997,0.0003
2026-05-26T22:49:32.610150,0.4000,0.1978,0.2022,0.4000,0.2189,0.1811
2026-05-26T22:49:32.711349,0.4000,-0.0045,0.4045,0.4000,0.0097,0.3903
2026-05-26T22:49:32.812323,0.4000,-0.0007,0.4007,0.4000,-0.0027,0.4027
2026-05-26T22:49:32.913358,0.4000,0.0000,0.4000,0.4000,-0.0006,0.4006
2026-05-26T22:49:39.786023,-0.4000,0.0000,0.4000,-0.4000,0.0000,0.4000
2026-05-26T22:49:39.886645,-0.4000,-0.1447,-0.2553,-0.4000,-0.1536,-0.2464
2026-05-26T22:49:39.987634,-0.4000,-0.3252,-0.0748,-0.4000,-0.3323,-0.0677
2026-05-26T22:49:40.088640,-0.4000,-0.3704,-0.0296,-0.4000,-0.3929,-0.0071
2026-05-26T22:49:40.189642,-0.4000,-0.3840,-0.0160,-0.4000,-0.4156,0.0156
2026-05-26T22:49:40.290645,-0.4000,-0.3959,-0.0041,-0.4000,-0.3976,-0.0024
2026-05-26T22:49:40.391656,-0.4000,-0.4026,0.0026,-0.4000,-0.3977,-0.0023
2026-05-26T22:49:40.492668,-0.4000,-0.3974,-0.0026,-0.4000,-0.4019,0.0019
2026-05-26T22:49:40.593669,-0.4000,-0.4058,0.0058,-0.4000,-0.4030,0.0030
2026-05-26T22:49:40.694670,-0.4000,-0.3999,-0.0001,-0.4000,-0.4017,0.0017
2026-05-26T22:49:40.795674,-0.4000,-0.4011,0.0011,-0.4000,-0.4024,0.0024
2026-05-26T22:49:40.896675,-0.4000,-0.4012,0.0012,-0.4000,-0.3990,-0.0010
2026-05-26T22:49:40.997686,-0.4000,-0.4052,0.0052,-0.4000,-0.4063,0.0063
2026-05-26T22:49:41.098698,-0.4000,-0.4054,0.0054,-0.4000,-0.4062,0.0062
2026-05-26T22:49:41.199691,-0.4000,-0.4020,0.0020,-0.4000,-0.4041,0.0041
2026-05-26T22:49:41.301523,-0.4000,-0.4052,0.0052,-0.4000,-0.4019,0.0019
2026-05-26T22:49:41.402605,-0.4000,-0.1969,-0.2031,-0.4000,-0.2170,-0.1830
2026-05-26T22:49:41.503705,-0.4000,0.0044,-0.4044,-0.4000,-0.0063,-0.3937
2026-05-26T22:49:41.604770,-0.4000,-0.0007,-0.3993,-0.4000,0.0028,-0.4028
2026-05-26T22:49:41.705754,-0.4000,0.0000,-0.4000,-0.4000,0.0000,-0.4000
2026-05-26T22:49:55.509597,0.1500,0.0000,-0.4000,0.1500,0.0000,-0.4000
2026-05-26T22:49:55.610398,0.1500,0.0726,0.0774,0.1500,0.0634,0.0866
2026-05-26T22:49:55.711386,0.1500,0.1598,-0.0098,0.1500,0.1589,-0.0089
2026-05-26T22:49:55.812394,0.1500,0.1541,-0.0041,0.1500,0.1541,-0.0041
2026-05-26T22:49:55.913396,0.1500,0.1493,0.0007,0.1500,0.1474,0.0026
2026-05-26T22:49:56.014401,0.1500,0.1493,0.0007,0.1500,0.1527,-0.0027
