# Magnetometer Calibration Data
# Generated on 2026-03-26 16:43:30
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
7.775001,12.525001,-7.666667,27.229560,1.930051,-17.889384
7.466667,12.425000,-7.916667,25.725730,1.730001,-19.110015
6.933334,12.316668,-8.300000,23.095792,1.758274,-21.044228
6.833333,12.216667,-8.466667,22.627477,1.335517,-21.792846
6.833333,12.258334,-8.425000,22.612065,1.567032,-21.629663
6.650001,12.400001,-8.550000,21.588583,2.738491,-22.435713
6.608334,12.441668,-8.316668,21.430540,2.811605,-21.348085
6.808334,12.591667,-8.275001,22.310873,3.614712,-21.228537
6.808334,12.675000,-8.108334,22.305840,3.996559,-20.494630
7.083333,12.883334,-7.916667,23.556463,4.983546,-19.675125
7.291667,13.025001,-7.600000,24.567951,5.458687,-18.199996
7.466667,13.191668,-7.600000,25.302898,6.428212,-18.308194
7.316667,13.350000,-7.500000,24.499278,7.466686,-18.019803
7.316667,13.375001,-7.516667,24.477136,7.646187,-18.125664
7.291667,13.458334,-7.475000,24.312252,8.166784,-18.010808
7.141667,13.541667,-7.433334,23.541530,8.772300,-17.934637
7.141667,13.583334,-7.541667,23.479698,9.149935,-18.505028
7.041667,13.708334,-7.558334,22.904953,10.050412,-18.739252
6.975000,13.641667,-7.541667,22.632288,9.644103,-18.613432
6.875000,13.641667,-7.558334,22.142462,9.728273,-18.725889
6.891667,13.541667,-7.708334,22.244753,9.210022,-19.356892
6.791667,13.500001,-7.708334,21.788390,9.005859,-19.347251
6.791667,13.416667,-7.833334,21.806318,8.583417,-19.877385
6.891667,13.433334,-7.641667,22.338980,8.437619,-18.925327
6.850000,13.458334,-7.583333,22.138104,8.572359,-18.677295
6.916667,13.516667,-7.641667,22.403535,8.964837,-18.998767
6.891667,13.583334,-7.600000,22.249973,9.376596,-18.867676
6.675000,13.500001,-7.850000,21.179100,9.223118,-20.076176
6.675000,13.500001,-7.850000,21.179100,9.223118,-20.076176
6.466667,13.416667,-8.008334,20.176987,8.974677,-20.833802
6.400001,13.375001,-8.091667,19.856390,8.829046,-21.221385
6.400001,13.475000,-8.175000,19.762667,9.563265,-21.726337
6.166667,13.275001,-8.175000,18.767640,8.415690,-21.603722
6.058334,13.191668,-8.400001,18.229563,8.164263,-22.656434
6.000000,13.133334,-8.608334,17.921994,8.025891,-23.636514
5.850000,13.108334,-8.400001,17.276448,7.761585,-22.639730
6.000000,13.175001,-8.608334,17.893688,8.297996,-23.677103
5.875000,13.291667,-8.341667,17.291122,8.885027,-22.525305
6.000000,13.416667,-8.150001,17.871356,9.429707,-21.671042
5.975000,13.516667,-8.150001,17.682253,10.099738,-21.776193
6.083333,13.600000,-8.108334,18.163593,10.529756,-21.620071
6.083333,13.766667,-8.008334,18.081316,11.520755,-21.293380
6.016667,13.683334,-8.050000,17.801921,11.062430,-21.436602
5.916667,13.791667,-8.050000,17.243657,11.837826,-21.573080
5.891667,13.666667,-8.150001,17.176460,11.135916,-21.948102
5.691667,13.666667,-8.316668,16.155544,11.434141,-22.825081
5.566667,13.416667,-8.441668,15.680860,10.008212,-23.231544
5.383334,13.258334,-8.508334,14.879231,9.163716,-23.460077
5.550000,13.291667,-8.400001,15.697894,9.162639,-22.911163
5.591667,13.258334,-8.483334,15.896696,8.997831,-23.273338
5.716667,13.275001,-8.550000,16.470578,9.086694,-23.576921
5.675000,13.191668,-8.508334,16.338138,8.530210,-23.304871
5.650000,13.350000,-8.425000,16.135197,9.500001,-23.059301
5.750000,13.350000,-8.383334,16.632762,9.391478,-22.824586
5.633334,13.391667,-8.466667,16.013219,9.824016,-23.308820
5.691667,13.391667,-8.400001,16.316574,9.719446,-22.964735
5.750000,13.458334,-8.400001,16.554009,10.115180,-23.011624
5.750000,13.541667,-8.383334,16.502554,10.643148,-23.011294
5.633334,13.416667,-8.550000,15.970446,10.068453,-23.740713
5.566667,13.391667,-8.466667,15.690107,9.869306,-23.329452
5.550000,13.375001,-8.508334,15.607755,9.812379,-23.522146
5.566667,13.375001,-8.591667,15.662744,9.882233,-23.924528
5.525000,13.516667,-8.425000,15.416136,10.673330,-23.260341
5.425000,13.500001,-8.483334,14.924737,10.689250,-23.560332
5.400000,13.475000,-8.466667,14.825711,10.526733,-23.462208
5.316667,13.500001,-8.508334,14.391943,10.787199,-23.716124
5.225000,13.416667,-8.591667,13.978486,10.386441,-24.070854
5.208333,13.458334,-8.650001,13.851348,10.726693,-24.401880
5.083333,13.475000,-8.633334,13.239348,10.904215,-24.375293
5.041667,13.458334,-8.591667,13.061620,10.783092,-24.168180
5.100000,13.458334,-8.591667,13.344344,10.743464,-24.150127
5.058333,13.500001,-8.483334,13.147617,10.938343,-23.673806
5.166667,13.541667,-8.550000,13.623739,11.201787,-24.006901
5.100000,13.641667,-8.650001,13.201744,11.997539,-24.613997
5.100000,13.641667,-8.550000,13.232692,11.900125,-24.124946
5.125000,13.666667,-8.400001,13.383297,11.900281,-23.407989
5.166667,13.766667,-8.566668,13.465728,12.687378,-24.307592
4.933333,13.791667,-8.466667,12.348797,12.911738,-23.915105
4.791667,13.766667,-8.608334,11.635325,12.982721,-24.627413
4.725000,13.958334,-8.550000,11.200057,14.222856,-24.549474
4.708333,13.958334,-8.525001,11.127015,14.209826,-24.432371
4.508334,13.583334,-8.691668,10.360853,12.059130,-24.944051
4.441667,13.725000,-8.716667,9.933764,13.053919,-25.224945
4.341667,13.541667,-8.716667,9.573640,11.924604,-25.077301
4.141667,13.641667,-8.775001,8.518315,12.770345,-25.521889
4.141667,13.766667,-8.800000,8.425660,13.611005,-25.765916
4.000000,13.725000,-8.733334,7.787983,13.370199,-25.443136
4.083333,13.791667,-8.650001,8.172374,13.667773,-25.074749
4.100000,13.875001,-8.733334,8.170751,14.281836,-25.558309
4.166667,13.808334,-8.591667,8.582995,13.663181,-24.779917
4.000000,13.916667,-8.691668,7.670669,14.581281,-25.426077
3.875000,14.100000,-8.608334,6.966077,15.782271,-25.235808
3.683334,14.166667,-8.550000,6.009892,16.291018,-25.074787
3.683334,14.083334,-8.633334,6.040714,15.827993,-25.401154
3.550000,14.183334,-8.466667,5.378133,16.409265,-24.724747
3.383333,14.333334,-8.508334,4.455554,17.542644,-25.126217
3.316667,14.308334,-8.633334,4.110741,17.546442,-25.733808
3.258333,14.333334,-8.483334,3.857455,17.603209,-25.042637
3.233334,14.266667,-8.466667,3.786736,17.168594,-24.903924
3.316667,14.291667,-8.550000,4.147854,17.356418,-25.310027
3.508333,14.250001,-8.508334,5.118002,16.913524,-25.006356
3.508333,14.308334,-8.341667,5.129953,17.132112,-24.248096
3.725000,14.416667,-8.400001,6.088421,17.749206,-24.571853
3.791667,14.391667,-8.466667,6.407885,17.605599,-24.852901
3.725000,14.558334,-8.191668,6.056654,18.471414,-23.691004
3.566667,14.625001,-8.275001,5.218182,19.095518,-24.212486
3.566667,14.708334,-8.191668,5.187360,19.558543,-23.886123
3.441667,14.666667,-8.150001,4.622725,19.330768,-23.680446
